prompt,completion
ㄱㅇ,가을
ㄴㄹ,노래
ㅇㅇ,우유
ㅇㅇ,아이
ㅎㅁ,희망
ㅇㅅ,이사
ㅇㅇ,음악
ㅂㄹ,바람
ㄷㅅ,독서
ㅊㅍ,출판
ㅇㄹ,의류
ㅂㅈ,바지
ㄱㅂ,가방
ㅈㅃ,제빵
ㄱㄹ,고래
ㅁㅎ,문학
ㅊㄱ,축구
ㅇㄷ,운동
ㄸㄱ,딸기
ㅊㅁ,치마
ㅈㄱ,작업
ㅎㅅ,회사
ㅊㄱ,출근
ㅅㄱ,시골
ㄱㅊ,기차
ㄴㄷ,노동
ㅎㄱ,학교
ㄷㅎ,대학
ㅎㅅ,학생
ㅅㅅ,소식
ㄱㄹ,그림
ㅎㄱ,화가
ㄷㅍ,들판
ㅂㄷ,바다
ㅊㅇ,초원
ㄹㅁ,라면
ㄱㅊ,김치
ㄱㅂ,김밥
ㅅㅅ,생수
ㅅㅈ,새장
ㄷㅅ,등산
ㅇㄹ,오리
ㅎㅎ,화학
ㄷㄷ,등대
ㄱㄱ,가게
ㅊㅂ,촛불
ㅂㅍ,볼펜
ㅇㅍ,연필
ㅅㅅ,숙소
ㄱㅇ,공원
ㅎㄱ,휴가
ㄱㄱ,계곡
ㅈㅁ,장마
ㅎㅁ,하마
ㄴㄹ,나라
ㄱㅈ,가지
ㅋㅍ,커피
ㄱㅂ,공부
ㅎㅂ,행복
ㅅㅍ,슬픔
ㅁㅇ,마음
ㅋㅇ,키위
ㄷㅍ,대표
ㄴㅁ,나무
ㄱㅇ,거위
ㅂㄴ,분노
ㅌㄱ,퇴근
ㅅㄹ,소리
ㄱㅈ,감자
ㅊㄱ,친구
ㅂㅅ,빙수
ㅅㅍ,수프
ㅅㅈ,사진
ㅍㅇ,파일
ㅇㄱ,안경
ㅁㅌ,물통
ㅂㅅ,버섯
ㅅㄷ,식당
ㅈㄱ,지갑
ㅎㅊ,향초
ㅅㅍ,서핑
ㄱㅇ,기와
ㅈㅂ,지붕
ㄱㅇ,군인
ㅅㅂ,신발
ㅎㅅ,호수
ㄱㅂ,강변
ㅁㅁ,메모
ㅎㅊ,하천
ㅁㄹ,메론
ㅎㅊ,후추
ㅅㅌ,손톱
ㅅㅈ,소주
ㅍㅋ,피클
ㅇㅇ,연어
ㄱㅇ,광어
ㅊㄷ,참돔
ㅂㄱ,배구
ㄴㄱ,농구
ㅌㄱ,탁구
ㅋㄷ,캔디
ㅇㅌ,웹툰
ㅇㅍ,양파
ㅂㅂ,보배
ㅋㅊ,케찹
ㄱㅈ,겨자
ㄱㅈ,간장
ㅅㅊ,식초
ㅂㅈ,반지
ㅁㄱ,모기
ㅎㅅ,화상
ㅎㅂ,허브
ㅈㄱ,지갑
ㅌㄹ,트럭
ㅇㅈ,의자
ㄱㄷ,구두
ㅋㅌ,코트
ㅁㅈ,모자
ㅁㄱ,망고
ㅍㅈ,파전
ㄷㅎ,대학
ㄱㄷ,국도
ㅂㅍ,백팩
ㅎㅂ,화분
ㅈㄱ,장갑
ㅂㄴ,배낭
ㅈㅋ,재킷
ㅂㄹ,볼링
ㅅㄱ,사과
ㅅㅈ,사장
ㅎㅈ,회장
ㄱㄹ,그룹
ㅇㅅ,우산
ㅁㅅ,문서
ㅊㅁ,창문
ㅊㅊ,참치
ㅈㅅ,접시
ㄱㄹ,그릇
ㅅㅌ,식탁
ㄱㄹ,계란
ㅇㅈ,액자
ㅇㄹ,유리
ㅁㅅ,무선
ㅍㄷ,패딩
ㄱㅇ,가위
ㅍㅅ,풍선
ㅇㄹ,알람
ㅈㅁ,조명
ㅁㅌ,메타
ㅇㅈ,인지
ㅎㅇ,회의
ㅎㅈ,화장
ㅇㅎ,여행
ㅁㄱ,미국
ㄷㅇ,독일
ㅎㅈ,호주
ㅎㄱ,한국
ㅇㅂ,일본
ㅈㄱ,중국
ㅌㅋ,터키
ㅇㄱ,영국
ㅁㄱ,몽골
ㅇㄷ,인도
ㅊㅋ,체코
ㄷㅇ,단어
ㅎㅇ,헤어
ㄴㅇ,높이
ㄴㅇ,내일
ㅎㅁ,호미
ㄱㅈ,가재
ㅁㅎ,문화
ㅇㅅ,애상
ㄷㄹ,달력
ㅅㄱ,시계
ㅅㄷ,소동
ㅍㄱ,펭귄
ㄱㅊ,고추
ㄹㅁ,레몬
ㅁㅁ,미모
ㅎㅅ,회상
ㅇㅁ,양말
ㅇㄹ,이름
ㅇㅈ,어제
ㅇㅈ,요즘
ㅌㅂ,티비
ㅇㅂ,우비
ㅁㄴ,만남
ㄱㅅ,기사
ㅅㅇ,수업
ㅈㄱ,주걱
ㅇㄹ,요리
ㅇㄹ,여름
ㅅㅅ,신사
ㅅㄴ,숙녀
ㅎㄴ,하늘
ㅁㄹ,모래
ㅋㅍ,카페
ㅋㅍ,코피
ㄱㄱ,가게
ㅎㄹ,허리
ㅎㅁ,호미
ㅎㅅ,행성
ㅇㅊ,양치
ㄹㅁ,라면
ㄴㄹ,나라
ㅁㅈ,모자
ㄷㅅ,도서
ㅇㅊ,아침
ㅇㅈ,의자
ㅂㅈ,바지
ㄱㅇ,게임
ㄴㅂ,냄비
ㄴㅂ,놀부
ㅁㅈ,맥주
ㅅㅈ,소주
ㅂㄷ,바닥
ㅈㅁ,조명
ㄷㄹ,달력
ㄴㅌ,노트
ㄷㄱ,달걀
